University Name,University ID,No. of Male,No. of Female,Total Students,Within State,Outside State
Indian Institute of Technology Madras,IR-O-U-0456,3544.0,528.0,4072.0,650.0,3388.0
Indian Institute of Science,IR-O-U-0220,385.0,71.0,456.0,62.0,394.0
Indian Institute of Technology Delhi,IR-O-I-1074,3168.0,374.0,3542.0,168.0,3373.0
Indian Institute of Technology Bombay,IR-O-U-0306,3731.0,406.0,4137.0,1133.0,3002.0
Indian Institute of Technology Kharagpur,IR-O-U-0573,2471.0,256.0,2727.0,271.0,2450.0
Indian Institute of Technology Kanpur,IR-O-I-1075,3350.0,254.0,3604.0,828.0,2774.0
Jawaharlal Nehru University,IR-O-U-0109,597.0,456.0,1053.0,64.0,918.0
Indian Institute of Technology Roorkee,IR-O-U-0560,3267.0,280.0,3547.0,78.0,3469.0
Indian Institute of Technology Guwahati,IR-O-U-0053,2421.0,209.0,2630.0,109.0,2520.0
Banaras Hindu University,IR-O-U-0500,9240.0,5016.0,14256.0,9480.0,4540.0
University of Hyderabad,IR-O-U-0042,0.0,0.0,0.0,0.0,0.0
Calcutta University,IR-O-U-0570,918.0,1838.0,2756.0,2020.0,713.0
Jadavpur University,IR-O-U-0575,5332.0,1727.0,7059.0,5985.0,1019.0
Anna University,IR-O-U-0439,6507.0,4763.0,11270.0,10652.0,125.0
Amrita Vishwa Vidyapeetham,IR-O-U-0436,8401.0,5202.0,13603.0,3361.0,10188.0
Manipal Academy of Higher Education,IR-O-U-0234,10855.0,7083.0,17938.0,4150.0,13142.0
Savitribai Phule Pune University,IR-O-U-0323,40.0,48.0,88.0,85.0,3.0
Aligarh Muslim University,IR-O-U-0496,7975.0,4456.0,12431.0,8869.0,3321.0
Jamia Millia Islamia,IR-O-U-0108,3655.0,2037.0,5692.0,1780.0,3791.0
University of Delhi,IR-O-U-0120,618.0,411.0,1029.0,640.0,381.0
Bharathiar University,IR-O-U-0447,190.0,150.0,340.0,332.0,8.0
Indian Institute of Technology Hyderabad,IR-O-U-0013,890.0,153.0,1043.0,413.0,630.0
Indian Institute of Science Education & Research Pune,IR-O-U-0305,598.0,254.0,852.0,233.0,619.0
National Institute of Technology Tiruchirappalli,IR-O-U-0467,2801.0,778.0,3579.0,1532.0,1956.0
Indian Institute of Technology (Indian School of Mines) Dhanbad,IR-O-U-0205,3482.0,233.0,3715.0,351.0,3305.0
Indian Institute of Management Calcutta,IR-O-S-8972,0.0,0.0,0.0,0.0,0.0
Institute of Chemical Technology,IR-O-U-0308,673.0,302.0,975.0,901.0,74.0
Indian Institute of Technology (Banaras Hindu University) Varanasi,IR-O-U-0701,3895.0,297.0,4192.0,1019.0,3173.0
Andhra University,IR-O-U-0006,1338.0,1034.0,2372.0,2128.0,150.0
Homi Bhabha National Institute,IR-O-U-0304,0.0,0.0,0.0,0.0,0.0
Jamia Hamdard,IR-O-U-0107,1730.0,1514.0,3244.0,1527.0,1615.0
Vellore Institute of Technology,IR-O-U-0490,18963.0,4319.0,23282.0,4107.0,18329.0
University of Madras,IR-O-I-1357,0.0,0.0,0.0,0.0,0.0
Panjab University,IR-O-U-0078,5892.0,3962.0,9854.0,4114.0,5632.0
Kerala University,IR-O-U-0260,0.0,0.0,0.0,0.0,0.0
Indian Institute of Engineering Science and Technology,IR-O-U-0584,1526.0,179.0,1705.0,1002.0,697.0
Indian Institute of Science Education & Research Bhopal,IR-O-U-0272,652.0,316.0,968.0,73.0,895.0
National Institute of Technology Rourkela,IR-O-U-0357,2302.0,502.0,2804.0,1271.0,1293.0
Birla Institute of Technology & Science,IR-O-U-0391,8803.0,1452.0,10255.0,1889.0,8297.0
Indian Institute of Science Education & Research Kolkata,IR-O-U-0572,700.0,223.0,923.0,320.0,603.0
Siksha `O` Anusandhan,IR-O-U-0363,4640.0,4198.0,8838.0,4603.0,4235.0
King George`s Medical University,IR-O-U-0523,966.0,782.0,1748.0,1604.0,144.0
Osmania University,IR-O-U-0027,1926.0,796.0,2722.0,2333.0,340.0
Indian Institute of Technology Mandi,IR-O-U-0184,495.0,41.0,536.0,10.0,526.0
Thapar Institute of Engineering and Technology (Deemed-to-be-university),IR-O-I-1480,4839.0,1159.0,5998.0,2941.0,3007.0
Indian Institute of Technology Bhubaneswar,IR-O-U-0355,834.0,76.0,910.0,36.0,874.0
Alagappa University,IR-O-U-0435,139.0,189.0,328.0,324.0,1.0
Tezpur University,IR-O-U-0056,982.0,274.0,1256.0,990.0,266.0
Mahatma Gandhi University,IR-O-U-0262,138.0,95.0,233.0,233.0,0.0
Kalinga Institute of Industrial Technology,IR-O-U-0356,12389.0,8701.0,21090.0,6342.0,14138.0
Indian Institute of Technology Gandhinagar,IR-O-U-0139,580.0,60.0,640.0,88.0,552.0
SRM Institute of Science and Technology,IR-O-U-0473,36685.0,10276.0,46961.0,18064.0,28118.0
National Institute of Technology Karnataka,IR-O-U-0237,2600.0,615.0,3215.0,1382.0,1765.0
Sri Ramachandra Institute of Higher Education and Research,IR-O-I-1486,1348.0,2773.0,4121.0,3494.0,455.0
JSS Academy of Higher Education and Research,IR-O-U-0222,1252.0,1662.0,2914.0,779.0,2049.0
Tata Institute of Social Sciences,IR-O-U-0331,198.0,285.0,483.0,162.0,318.0
Bharath Institute of Higher Education & Research,IR-O-U-0446,4614.0,5512.0,10126.0,1918.0,8166.0
Indian Institute of Technology Patna,IR-O-U-0064,747.0,36.0,783.0,127.0,656.0
Visva Bharati,IR-O-U-0589,1752.0,1839.0,3591.0,2919.0,591.0
G. B. Pant Universtiy of Agriculture and Technology,IR-O-U-0554,1705.0,1183.0,2888.0,2310.0,575.0
National Institute of Technology Warangal,IR-O-U-0025,2591.0,945.0,3536.0,1626.0,1438.0
North Eastern Hill University,IR-O-U-0341,754.0,368.0,1122.0,596.0,525.0
Shanmugha Arts Science Technology & Research Academy,IR-O-U-0476,6017.0,5452.0,11469.0,8396.0,3059.0
Sathyabama Institute of Science and Technology,IR-O-U-0474,9006.0,2998.0,12004.0,3446.0,8490.0
Gauhati University,IR-O-U-0052,557.0,363.0,920.0,837.0,83.0
Indian Institute of Science Education & Research Mohali,IR-O-U-0377,639.0,308.0,947.0,77.0,870.0
Saveetha Institute of Medical and Technical Sciences,IR-O-I-1441,4403.0,2812.0,7215.0,2860.0,4268.0
Tamil Nadu Agricultural University,IR-O-U-0485,1818.0,3170.0,4988.0,4641.0,335.0
Madurai Kamraj University,IR-O-U-0463,0.0,0.0,0.0,0.0,0.0
Dr. D. Y. Patil Vidyapeeth,IR-O-I-1110,1009.0,2010.0,3019.0,1579.0,1366.0
Delhi Technological University,IR-O-U-0098,6291.0,1091.0,7382.0,4126.0,2980.0
Pondicherry University,IR-O-U-0369,497.0,350.0,847.0,532.0,315.0
Sri Venkateswara University,IR-O-U-0037,1194.0,824.0,2018.0,2008.0,4.0
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),IR-O-U-0020,8536.0,3904.0,12440.0,8547.0,3701.0
Punjab Agricultural University,IR-O-U-0381,1255.0,1034.0,2289.0,2235.0,49.0
PSG College of Technology,IR-O-C-37013,4154.0,2211.0,6365.0,6131.0,234.0
Shiv Nadar University,IR-O-U-0642,1264.0,560.0,1824.0,434.0,1382.0
Sri Sivasubramaniya Nadar College of Engineering,IR-O-C-16604,2310.0,1471.0,3781.0,3390.0,350.0
University of Kashmir,IR-O-U-0196,752.0,762.0,1514.0,1514.0,0.0
Mysore University,IR-O-U-0235,4239.0,1584.0,5823.0,5195.0,565.0
Guru Nanak Dev University,IR-O-U-0376,2037.0,2179.0,4216.0,3871.0,343.0
Symbiosis International,IR-O-U-0329,5168.0,4370.0,9538.0,2523.0,6251.0
SVKM`s Narsee Monjee Institute of Management Studies,IR-O-N-10,1737.0,1823.0,3560.0,1463.0,2097.0
Amity University,IR-O-U-0497,15905.0,12218.0,28123.0,10341.0,17591.0
Birla Institute of Technology,IR-O-U-0202,2485.0,703.0,3188.0,1643.0,1472.0
Bharathidasan University,IR-O-U-0448,161.0,12.0,173.0,173.0,0.0
Banasthali Vidyapith,IR-O-U-0389,0.0,7833.0,7833.0,1027.0,6491.0
Bharati Vidyapeeth,IR-O-I-1361,10527.0,6914.0,17441.0,9273.0,7841.0
Chaudhary Charan Singh Haryana Agricultural University,IR-O-U-0159,805.0,645.0,1450.0,1397.0,39.0
Calicut University,IR-O-U-0251,15.0,145.0,160.0,160.0,0.0
College of Engineering,IR-O-C-41593,2252.0,1081.0,3333.0,3019.0,69.0
Datta Meghe Institute of Medical Sciences,IR-O-U-0295,889.0,1785.0,2674.0,1802.0,773.0
National Institute of Technology Durgapur,IR-O-U-0577,2369.0,562.0,2931.0,1339.0,1474.0
Cochin University of Science and Technology,IR-O-U-0253,871.0,246.0,1117.0,1052.0,62.0
Guru Gobind Singh Indraprastha University,IR-O-U-0099,1534.0,765.0,2299.0,1909.0,317.0
Anand Agricultural University,IR-O-U-0123,1667.0,684.0,2351.0,2222.0,121.0
Periyar University,IR-O-U-0470,111.0,96.0,207.0,204.0,3.0
KLE Academy of Higher Education and Research,IR-O-U-0225,1442.0,2338.0,3780.0,1593.0,2036.0
Tamil Nadu Veterinary & Animal Sciences University,IR-O-U-0487,917.0,675.0,1592.0,1476.0,91.0
NITTE,IR-O-U-0239,858.0,1906.0,2764.0,893.0,1838.0
